id,city_name,humidity,latitude,longtitude,sunset_time,surnise_time,temperature,time_of_record,wind_speed
1736267120,Sfax,45,34.741,10.7648,1736266878,1736231085,20.11,1736267120,0.51
1736266252,Fernana,82,36.7422,8.6626,1736267078,1736231895,8.21,1736266252,6.04
1736265964,Aryanah,67,36.8625,10.1956,1736266691,1736231546,15.97,1736265964,7.72
1736266648,Metlaoui,45,34.2744,8.4459,1736267504,1736231573,15.5,1736266648,4.4
1736267286,Kairouan,42,35.7976,10.126,1736266872,1736231397,18.24,1736267286,3.09
1736267013,Kairouan,42,35.6712,10.0911,1736266900,1736231387,18.01,1736267013,3.09
1736265764,Sousse,59,35.8214,10.6344,1736266747,1736231279,17.79,1736265764,4.63
1736267519,Bizerte,67,37.3426,9.8502,1736266698,1736231705,14.86,1736267519,11.27
1736267708,Carthage,77,36.8473,10.3417,1736266658,1736231508,15.02,1736267708,6.17
1736268224,Sbikha,72,35.9444,9.799,1736266929,1736231498,10.39,1736268224,10.17
1736266088,Metlaoui,45,34.2744,8.4459,1736267504,1736231573,15.5,1736266088,4.4
1736266062,Sfax,47,34.7406,10.7603,1736266879,1736231086,17.45,1736266062,2.97
1736265953,Gafsa,51,34.4311,8.7757,1736267401,1736231517,16.06,1736265953,4.63
1736265781,Bab El Jazira,67,36.8064,10.1817,1736266703,1736231540,15.99,1736265781,7.72
1736265349,Sbiba,71,35.4037,9.0079,1736267201,1736231606,8.82,1736265349,9.9
1736266671,Kasserine,62,35.1677,8.8315,1736267279,1736231613,11.21,1736266671,8.34
1736267242,Bab El Jazira,77,36.8064,10.1817,1736266703,1736231540,14.99,1736267242,6.17
1736264341,Beni Kheddache,54,33.1381,10.269,1736267230,1736230971,13.32,1736264341,6.26
1736266240,Aryanah,67,36.8625,10.1956,1736266691,1736231546,15.97,1736266240,7.72
1736267091,Metlaoui,45,34.2744,8.4459,1736267504,1736231573,15.5,1736267091,4.4
